title,text,label
News Article Title 0,This is the content of the news article 0. It discusses various topics and is either real or fake.,Fake
News Article Title 1,This is the content of the news article 1. It discusses various topics and is either real or fake.,Real
News Article Title 2,This is the content of the news article 2. It discusses various topics and is either real or fake.,Fake
News Article Title 3,This is the content of the news article 3. It discusses various topics and is either real or fake.,Fake
News Article Title 4,This is the content of the news article 4. It discusses various topics and is either real or fake.,Fake
News Article Title 5,This is the content of the news article 5. It discusses various topics and is either real or fake.,Real
News Article Title 6,This is the content of the news article 6. It discusses various topics and is either real or fake.,Fake
News Article Title 7,This is the content of the news article 7. It discusses various topics and is either real or fake.,Fake
News Article Title 8,This is the content of the news article 8. It discusses various topics and is either real or fake.,Fake
News Article Title 9,This is the content of the news article 9. It discusses various topics and is either real or fake.,Real
News Article Title 10,This is the content of the news article 10. It discusses various topics and is either real or fake.,Fake
News Article Title 11,This is the content of the news article 11. It discusses various topics and is either real or fake.,Fake
News Article Title 12,This is the content of the news article 12. It discusses various topics and is either real or fake.,Fake
News Article Title 13,This is the content of the news article 13. It discusses various topics and is either real or fake.,Fake
News Article Title 14,This is the content of the news article 14. It discusses various topics and is either real or fake.,Real
News Article Title 15,This is the content of the news article 15. It discusses various topics and is either real or fake.,Fake
News Article Title 16,This is the content of the news article 16. It discusses various topics and is either real or fake.,Real
News Article Title 17,This is the content of the news article 17. It discusses various topics and is either real or fake.,Real
News Article Title 18,This is the content of the news article 18. It discusses various topics and is either real or fake.,Real
News Article Title 19,This is the content of the news article 19. It discusses various topics and is either real or fake.,Fake
News Article Title 20,This is the content of the news article 20. It discusses various topics and is either real or fake.,Real
News Article Title 21,This is the content of the news article 21. It discusses various topics and is either real or fake.,Fake
News Article Title 22,This is the content of the news article 22. It discusses various topics and is either real or fake.,Real
News Article Title 23,This is the content of the news article 23. It discusses various topics and is either real or fake.,Real
News Article Title 24,This is the content of the news article 24. It discusses various topics and is either real or fake.,Real
News Article Title 25,This is the content of the news article 25. It discusses various topics and is either real or fake.,Real
News Article Title 26,This is the content of the news article 26. It discusses various topics and is either real or fake.,Real
News Article Title 27,This is the content of the news article 27. It discusses various topics and is either real or fake.,Real
News Article Title 28,This is the content of the news article 28. It discusses various topics and is either real or fake.,Real
News Article Title 29,This is the content of the news article 29. It discusses various topics and is either real or fake.,Real
News Article Title 30,This is the content of the news article 30. It discusses various topics and is either real or fake.,Fake
News Article Title 31,This is the content of the news article 31. It discusses various topics and is either real or fake.,Fake
News Article Title 32,This is the content of the news article 32. It discusses various topics and is either real or fake.,Real
News Article Title 33,This is the content of the news article 33. It discusses various topics and is either real or fake.,Real
News Article Title 34,This is the content of the news article 34. It discusses various topics and is either real or fake.,Real
News Article Title 35,This is the content of the news article 35. It discusses various topics and is either real or fake.,Fake
News Article Title 36,This is the content of the news article 36. It discusses various topics and is either real or fake.,Real
News Article Title 37,This is the content of the news article 37. It discusses various topics and is either real or fake.,Fake
News Article Title 38,This is the content of the news article 38. It discusses various topics and is either real or fake.,Fake
News Article Title 39,This is the content of the news article 39. It discusses various topics and is either real or fake.,Fake
News Article Title 40,This is the content of the news article 40. It discusses various topics and is either real or fake.,Fake
News Article Title 41,This is the content of the news article 41. It discusses various topics and is either real or fake.,Fake
News Article Title 42,This is the content of the news article 42. It discusses various topics and is either real or fake.,Real
News Article Title 43,This is the content of the news article 43. It discusses various topics and is either real or fake.,Real
News Article Title 44,This is the content of the news article 44. It discusses various topics and is either real or fake.,Real
News Article Title 45,This is the content of the news article 45. It discusses various topics and is either real or fake.,Real
News Article Title 46,This is the content of the news article 46. It discusses various topics and is either real or fake.,Real
News Article Title 47,This is the content of the news article 47. It discusses various topics and is either real or fake.,Fake
News Article Title 48,This is the content of the news article 48. It discusses various topics and is either real or fake.,Real
News Article Title 49,This is the content of the news article 49. It discusses various topics and is either real or fake.,Real
News Article Title 50,This is the content of the news article 50. It discusses various topics and is either real or fake.,Fake
News Article Title 51,This is the content of the news article 51. It discusses various topics and is either real or fake.,Real
News Article Title 52,This is the content of the news article 52. It discusses various topics and is either real or fake.,Fake
News Article Title 53,This is the content of the news article 53. It discusses various topics and is either real or fake.,Real
News Article Title 54,This is the content of the news article 54. It discusses various topics and is either real or fake.,Fake
News Article Title 55,This is the content of the news article 55. It discusses various topics and is either real or fake.,Real
News Article Title 56,This is the content of the news article 56. It discusses various topics and is either real or fake.,Real
News Article Title 57,This is the content of the news article 57. It discusses various topics and is either real or fake.,Fake
News Article Title 58,This is the content of the news article 58. It discusses various topics and is either real or fake.,Fake
News Article Title 59,This is the content of the news article 59. It discusses various topics and is either real or fake.,Fake
News Article Title 60,This is the content of the news article 60. It discusses various topics and is either real or fake.,Fake
News Article Title 61,This is the content of the news article 61. It discusses various topics and is either real or fake.,Fake
News Article Title 62,This is the content of the news article 62. It discusses various topics and is either real or fake.,Fake
News Article Title 63,This is the content of the news article 63. It discusses various topics and is either real or fake.,Fake
News Article Title 64,This is the content of the news article 64. It discusses various topics and is either real or fake.,Fake
News Article Title 65,This is the content of the news article 65. It discusses various topics and is either real or fake.,Real
News Article Title 66,This is the content of the news article 66. It discusses various topics and is either real or fake.,Real
News Article Title 67,This is the content of the news article 67. It discusses various topics and is either real or fake.,Fake
News Article Title 68,This is the content of the news article 68. It discusses various topics and is either real or fake.,Real
News Article Title 69,This is the content of the news article 69. It discusses various topics and is either real or fake.,Real
News Article Title 70,This is the content of the news article 70. It discusses various topics and is either real or fake.,Real
News Article Title 71,This is the content of the news article 71. It discusses various topics and is either real or fake.,Real
News Article Title 72,This is the content of the news article 72. It discusses various topics and is either real or fake.,Fake
News Article Title 73,This is the content of the news article 73. It discusses various topics and is either real or fake.,Real
News Article Title 74,This is the content of the news article 74. It discusses various topics and is either real or fake.,Fake
News Article Title 75,This is the content of the news article 75. It discusses various topics and is either real or fake.,Real
News Article Title 76,This is the content of the news article 76. It discusses various topics and is either real or fake.,Real
News Article Title 77,This is the content of the news article 77. It discusses various topics and is either real or fake.,Real
News Article Title 78,This is the content of the news article 78. It discusses various topics and is either real or fake.,Fake
News Article Title 79,This is the content of the news article 79. It discusses various topics and is either real or fake.,Real
News Article Title 80,This is the content of the news article 80. It discusses various topics and is either real or fake.,Fake
News Article Title 81,This is the content of the news article 81. It discusses various topics and is either real or fake.,Real
News Article Title 82,This is the content of the news article 82. It discusses various topics and is either real or fake.,Fake
News Article Title 83,This is the content of the news article 83. It discusses various topics and is either real or fake.,Real
News Article Title 84,This is the content of the news article 84. It discusses various topics and is either real or fake.,Fake
News Article Title 85,This is the content of the news article 85. It discusses various topics and is either real or fake.,Fake
News Article Title 86,This is the content of the news article 86. It discusses various topics and is either real or fake.,Real
News Article Title 87,This is the content of the news article 87. It discusses various topics and is either real or fake.,Fake
News Article Title 88,This is the content of the news article 88. It discusses various topics and is either real or fake.,Real
News Article Title 89,This is the content of the news article 89. It discusses various topics and is either real or fake.,Real
News Article Title 90,This is the content of the news article 90. It discusses various topics and is either real or fake.,Real
News Article Title 91,This is the content of the news article 91. It discusses various topics and is either real or fake.,Real
News Article Title 92,This is the content of the news article 92. It discusses various topics and is either real or fake.,Real
News Article Title 93,This is the content of the news article 93. It discusses various topics and is either real or fake.,Real
News Article Title 94,This is the content of the news article 94. It discusses various topics and is either real or fake.,Real
News Article Title 95,This is the content of the news article 95. It discusses various topics and is either real or fake.,Real
News Article Title 96,This is the content of the news article 96. It discusses various topics and is either real or fake.,Real
News Article Title 97,This is the content of the news article 97. It discusses various topics and is either real or fake.,Real
News Article Title 98,This is the content of the news article 98. It discusses various topics and is either real or fake.,Real
News Article Title 99,This is the content of the news article 99. It discusses various topics and is either real or fake.,Fake
News Article Title 100,This is the content of the news article 100. It discusses various topics and is either real or fake.,Fake
News Article Title 101,This is the content of the news article 101. It discusses various topics and is either real or fake.,Real
News Article Title 102,This is the content of the news article 102. It discusses various topics and is either real or fake.,Real
News Article Title 103,This is the content of the news article 103. It discusses various topics and is either real or fake.,Real
News Article Title 104,This is the content of the news article 104. It discusses various topics and is either real or fake.,Real
News Article Title 105,This is the content of the news article 105. It discusses various topics and is either real or fake.,Real
News Article Title 106,This is the content of the news article 106. It discusses various topics and is either real or fake.,Real
